Date,signal,Settle,MA,Upper Band,Lower Band,Short Position Stop,Long Position Stop
2017-08-14,0.0,93.305,93.45330000000017,94.49856247420328,92.40803752579706,104.24807999999999,94.17114000000001
2017-08-15,0.0,93.756,93.42100000000018,94.38366276544676,92.4583372345536,104.24807999999999,94.17114000000001
2017-08-16,0.0,93.438,93.36350000000019,94.16423378845757,92.56276621154281,104.24807999999999,94.17114000000001
2017-08-17,0.0,93.534,93.33435000000019,94.0623866130749,92.60631338692546,104.24807999999999,94.17114000000001
2017-08-18,0.0,93.359,93.31835000000018,94.0292495076504,92.60745049234995,104.24807999999999,94.17114000000001
2017-08-21,0.0,93.012,93.27905000000018,93.96604155015008,92.59205844985028,104.24807999999999,94.17114000000001
2017-08-22,0.0,93.461,93.25770000000018,93.89220078012373,92.62319921987664,104.24807999999999,94.17114000000001
2017-08-23,0.0,93.07,93.23595000000019,93.86484887102588,92.60705112897449,104.24807999999999,94.17114000000001
2017-08-24,0.0,93.202,93.21030000000019,93.79954938691326,92.62105061308712,104.24807999999999,94.17114000000001
2017-08-25,0.0,92.677,93.18845000000019,93.82116809676796,92.55573190323241,104.24807999999999,94.17114000000001
2017-08-28,1.0,92.14,93.15955000000018,93.91623764360054,92.40286235639982,104.24807999999999,90.2972
2017-08-29,0.0,92.184,93.12370000000018,93.98648922106028,92.26091077894009,104.24807999999999,90.2972
2017-08-30,0.0,92.823,93.12990000000018,93.98210980983428,92.27769019016607,104.24807999999999,90.2972
2017-08-31,0.0,92.628,93.12595000000017,93.9866537759751,92.26524622402525,104.24807999999999,90.2972
2017-09-01,0.0,92.769,93.09360000000018,93.95689702882486,92.2303029711755,104.24807999999999,90.2972
2017-09-04,0.0,92.769,93.06660000000018,93.9350234911481,92.19817650885226,104.24807999999999,90.2972
2017-09-05,0.0,92.226,93.00215000000017,93.9179301646563,92.08636983534404,104.24807999999999,90.2972
2017-09-06,0.0,92.252,92.94325000000018,93.8923076115168,91.99419238848355,104.24807999999999,90.2972
2017-09-07,0.0,91.642,92.86015000000017,93.94905316832036,91.77124683167999,104.24807999999999,90.2972
2017-09-08,0.0,91.326,92.77865000000017,94.05459157780764,91.5027084221927,104.24807999999999,90.2972
2017-09-11,0.0,91.853,92.70605000000018,94.01864307859609,91.39345692140427,104.24807999999999,90.2972
2017-09-12,0.0,91.856,92.61105000000018,93.8802381617705,91.34186183822985,104.24807999999999,90.2972
2017-09-13,0.0,92.508,92.56455000000017,93.7759723829773,91.35312761702303,104.24807999999999,90.2972
2017-09-14,0.0,92.112,92.49345000000017,93.63376442592754,91.3531355740728,104.24807999999999,90.2972
2017-09-15,0.0,91.863,92.41865000000017,93.51755623347879,91.31974376652155,104.24807999999999,90.2972
2017-09-18,0.0,91.824,92.35925000000017,93.45185713432532,91.26664286567502,104.24807999999999,90.2972
2017-09-19,0.0,91.561,92.26425000000017,93.28521050363305,91.2432894963673,104.24807999999999,90.2972
2017-09-20,0.0,92.296,92.22555000000018,93.17777087247586,91.2733291275245,104.24807999999999,90.2972
2017-09-21,0.0,92.049,92.16790000000017,93.00990567692784,91.3258943230725,104.24807999999999,90.2972
2017-09-22,0.0,91.967,92.13240000000019,92.94490732918464,91.31989267081573,104.24807999999999,90.2972
2017-09-25,0.0,92.441,92.14745000000019,92.97103811913405,91.32386188086633,104.24807999999999,90.2972
2017-09-26,0.0,92.781,92.17730000000019,93.04605959849589,91.30854040150449,104.24807999999999,90.2972
2017-09-27,2.0,93.171,92.19470000000018,93.1261689688759,91.26323103112446,95.03442000000001,90.2972
2017-09-28,0.0,92.932,92.20990000000019,93.17834347278442,91.24145652721596,95.03442000000001,90.2972
2017-09-29,0.0,92.883,92.2156000000002,93.1983751319497,91.23282486805068,95.03442000000001,90.2972
2017-10-02,0.0,93.405,92.24740000000018,93.33528150089003,91.15951849911033,95.03442000000001,90.2972
