Date,Index
19980728,6520.64
19980729,6804.94
19980730,6989.35
19980731,7409.41
19980803,7737.65
19980804,7404.93
19980805,7516.74
19980806,7836.21
19980807,7941.21
19980810,7944.39
19980811,7989.67
19980812,7718.02
19980813,7103.67
19980814,7031.21
19980817,6918.01
19980818,6970.58
19980819,6762.86
19980820,6426.75
19980821,6929.96
19980824,7019.36
19980825,7333.82
19980826,7966.73
19980827,9301.16
19980828,10248.02
19980831,10395.59
19980901,9483.90
19980902,8783.04
19980903,8595.08
19980904,8190.25
19980907,8177.97
19980908,7558.08
19980909,7793.89
19980910,8494.56
19980911,8307.68
19980914,8237.89
19980915,7686.78
19980916,7763.65
19980917,8453.84
19980918,8952.61
19980921,8529.15
19980922,8443.86
19980923,8253.87
19980924,8529.55
19980925,8317.17
19980928,8416.14
19980929,8793.19
19980930,8912.77
19981001,9537.56
19981002,9496.55
19981005,9545.93
19981006,9384.60
19981007,9681.16
19981008,9696.65
19981009,9207.94
19981012,8978.66
19981013,9136.68
19981014,9092.83
19981015,9025.54
19981016,9586.93
19981019,9548.58
19981020,9014.81
19981021,8498.27
19981022,8680.13
19981023,8397.16
19981026,8172.11
19981027,7721.83
19981028,7748.08
19981029,7828.66
19981030,7635.30
19981102,7879.62
19981103,8283.06
19981104,7566.58
19981105,7462.91
19981106,7155.44
19981109,6761.89
19981110,6553.63
19981111,6541.17
19981112,6212.81
19981113,5910.87
19981116,6261.97
19981117,6293.91
19981118,5869.07
19981119,6023.42
19981120,5893.32
19981123,6199.18
19981124,6261.17
19981125,6161.00
19981126,6157.91
19981127,6257.67
19981130,6691.33
19981201,6512.00
19981202,6531.54
19981203,7113.50
19981204,6888.71
19981207,6775.05
19981208,6967.46
19981209,7388.99
19981210,7772.48
19981211,8236.50
19981214,7943.28
19981215,8107.70
19981216,6843.71
19981217,7655.38
19981218,7884.27
19981221,7830.66
19981222,7778.19
19981223,8153.88
19981224,7887.25
19981225,7887.25
19981228,7880.94
19981229,7400.20
19981230,7457.92
19981231,7707.76
19990101,7707.76
19990104,8917.88
19990105,9261.22
19990106,8435.12
19990107,9030.64
19990108,8794.94
19990111,9538.99
19990112,8030.88
19990113,6685.70
19990114,6441.68
19990115,6147.29
19990118,6142.37
19990119,6305.76
19990120,6286.21
19990121,6176.20
19990122,6541.84
19990125,7290.22
