,Date,Date2,Settle,Open,High,Low,Change %,MA,STD,Upper Band,Lower Band,Short Position Stop,Long Position Stop,Short Position Stop Clone,Long Position Stop Clone
119,17/06/2013,"Jun 17, 2013",1.3369,1.3342,1.3382,1.3317,0.16%,1.3106550000000003,0.018027103899405834,1.346709207798812,1.2746007922011886,1.337947,1.2790799999999998,1.337947,1.2790799999999998
120,18/06/2013,"Jun 18, 2013",1.3394,1.3368,1.3416,1.3325,0.19%,1.3130950000000003,0.018445229057942727,1.3499854581158859,1.2762045418841148,1.337947,1.2790799999999998,1.337947,1.2790799999999998
121,19/06/2013,"Jun 19, 2013",1.3295,1.3392,1.3415,1.3259999999999998,-0.74%,1.3152800000000002,0.017653826780615486,1.3505876535612311,1.2799723464387693,1.337947,1.2790799999999998,1.337947,1.2790799999999998
122,20/06/2013,"Jun 20, 2013",1.3219999999999998,1.3296,1.3303,1.3163,-0.56%,1.3167000000000002,0.016982284887493145,1.3506645697749864,1.282735430225014,1.337947,1.2790799999999998,1.337947,1.2790799999999998
123,21/06/2013,"Jun 21, 2013",1.3123,1.3219,1.3254,1.3099,-0.73%,1.3176550000000002,0.016150587450615508,1.3499561749012312,1.2853538250987693,1.337947,1.2790799999999998,1.337947,1.2790799999999998
124,24/06/2013,"Jun 24, 2013",1.3119,1.3117,1.3146,1.306,-0.03%,1.3185900000000004,0.015222381548232846,1.349034763096466,1.2881452369035347,1.337947,1.2790799999999998,1.337947,1.2790799999999998
125,25/06/2013,"Jun 25, 2013",1.3085,1.3118,1.3151,1.3064,-0.26%,1.3197350000000003,0.013456718582179726,1.3466484371643597,1.292821562835641,1.337947,1.2790799999999998,1.337947,1.2790799999999998
126,26/06/2013,"Jun 26, 2013",1.3012,1.3081,1.3088,1.2984,-0.56%,1.3200900000000004,0.012856006378342447,1.3458020127566854,1.2943779872433154,1.337947,1.2790799999999998,1.337947,1.2790799999999998
127,27/06/2013,"Jun 27, 2013",1.3037,1.3013,1.3058,1.3001,0.19%,1.3200250000000004,0.012935179743628669,1.3458953594872578,1.294154640512743,1.337947,1.2790799999999998,1.337947,1.2790799999999998
128,28/06/2013,"Jun 28, 2013",1.301,1.3037,1.3105,1.2992,-0.21%,1.3200800000000004,0.012851560216564435,1.3457831204331292,1.2943768795668715,1.337947,1.2790799999999998,1.337947,1.2790799999999998
