Date,Date2,Settle,Open,High,Low,Change %
20/07/2017,"Jul 20, 2017",1.1631,1.1513,1.1657,1.1479,1.00%
21/07/2017,"Jul 21, 2017",1.1663,1.1634,1.1684,1.162,0.28%
24/07/2017,"Jul 24, 2017",1.1642,1.1662,1.1688,1.1628,-0.18%
25/07/2017,"Jul 25, 2017",1.1652,1.164,1.1712,1.163,0.09%
26/07/2017,"Jul 26, 2017",1.1734,1.1648,1.1741,1.1613,0.70%
27/07/2017,"Jul 27, 2017",1.1677,1.1734,1.1777,1.1649,-0.49%
28/07/2017,"Jul 28, 2017",1.1752,1.1677,1.1765,1.1671,0.64%
31/07/2017,"Jul 31, 2017",1.1842,1.1737,1.1847,1.1723,0.77%
01/08/2017,"Aug 01, 2017",1.1802,1.1841,1.1845,1.1784,-0.34%
02/08/2017,"Aug 02, 2017",1.1856,1.1802,1.1911,1.1794,0.46%
03/08/2017,"Aug 03, 2017",1.187,1.1856,1.1894,1.1831,0.12%
04/08/2017,"Aug 04, 2017",1.1772,1.1871,1.1893,1.1731,-0.83%
07/08/2017,"Aug 07, 2017",1.1796,1.1768,1.1816,1.1767,0.20%
08/08/2017,"Aug 08, 2017",1.175,1.1794,1.1825,1.1714,-0.39%
09/08/2017,"Aug 09, 2017",1.1759,1.1752,1.1765,1.1689,0.08%
10/08/2017,"Aug 10, 2017",1.1772,1.1759,1.1786,1.1704,0.11%
11/08/2017,"Aug 11, 2017",1.1821,1.1771,1.1846,1.1747,0.42%
14/08/2017,"Aug 14, 2017",1.178,1.1806,1.184,1.177,-0.35%
15/08/2017,"Aug 15, 2017",1.1735,1.178,1.1794,1.1688,-0.38%
16/08/2017,"Aug 16, 2017",1.177,1.1734,1.178,1.1682,0.30%
17/08/2017,"Aug 17, 2017",1.1724,1.1767,1.179,1.1662,-0.39%
18/08/2017,"Aug 18, 2017",1.1762,1.1723,1.1775,1.1707,0.32%
21/08/2017,"Aug 21, 2017",1.1816,1.175,1.183,1.1731,0.46%
22/08/2017,"Aug 22, 2017",1.1762,1.1815,1.1826,1.1745,-0.46%
23/08/2017,"Aug 23, 2017",1.1807,1.1763,1.1825,1.1741,0.38%
24/08/2017,"Aug 24, 2017",1.1799,1.1807,1.1821,1.1784,-0.07%
25/08/2017,"Aug 25, 2017",1.1926,1.1799,1.1942,1.1773,1.08%
28/08/2017,"Aug 28, 2017",1.1979,1.1926,1.1985,1.1917,0.44%
29/08/2017,"Aug 29, 2017",1.1972,1.1978,1.2069,1.1945,-0.06%
30/08/2017,"Aug 30, 2017",1.1883,1.1974,1.1986,1.1881,-0.74%
31/08/2017,"Aug 31, 2017",1.191,1.1884,1.1914,1.1823,0.23%
01/09/2017,"Sep 01, 2017",1.1859,1.1911,1.1981,1.185,-0.43%
04/09/2017,"Sep 04, 2017",1.1896,1.1858,1.1923,1.1853,0.31%
05/09/2017,"Sep 05, 2017",1.1914,1.1896,1.1941,1.1868,0.15%
06/09/2017,"Sep 06, 2017",1.1917,1.1914,1.1951,1.1903,0.03%
07/09/2017,"Sep 07, 2017",1.2023,1.1917,1.2061,1.1914,0.89%
08/09/2017,"Sep 08, 2017",1.2035,1.2024,1.2094,1.2016,0.10%
11/09/2017,"Sep 11, 2017",1.1953,1.2041,1.2041,1.1948,-0.68%
12/09/2017,"Sep 12, 2017",1.1967,1.1953,1.198,1.1926,0.12%
13/09/2017,"Sep 13, 2017",1.1886,1.1967,1.1995,1.1872,-0.68%
14/09/2017,"Sep 14, 2017",1.1919,1.1884,1.1922,1.1837,0.28%
15/09/2017,"Sep 15, 2017",1.1943,1.1919,1.1988,1.1901,0.20%
18/09/2017,"Sep 18, 2017",1.1954,1.1949,1.1971,1.1915,0.09%
19/09/2017,"Sep 19, 2017",1.1994,1.1955,1.2008,1.195,0.33%
20/09/2017,"Sep 20, 2017",1.1893,1.1994,1.2033,1.1862,-0.84%
21/09/2017,"Sep 21, 2017",1.1941,1.1894,1.1955,1.1866,0.40%
22/09/2017,"Sep 22, 2017",1.1954,1.1942,1.2006,1.1937,0.11%
25/09/2017,"Sep 25, 2017",1.1848,1.1953,1.1962,1.1833,-0.89%
26/09/2017,"Sep 26, 2017",1.1793,1.1848,1.1863,1.1758,-0.46%
27/09/2017,"Sep 27, 2017",1.1744,1.1792,1.1797,1.1717,-0.42%
28/09/2017,"Sep 28, 2017",1.1786,1.1746,1.1805,1.1721,0.36%
29/09/2017,"Sep 29, 2017",1.1814,1.1787,1.1834,1.1773,0.24%
02/10/2017,"Oct 02, 2017",1.1732,1.1818,1.1818,1.173,-0.69%
03/10/2017,"Oct 03, 2017",1.1744,1.1733,1.1775,1.1696,0.10%
04/10/2017,"Oct 04, 2017",1.176,1.1743,1.1788,1.1733,0.14%
05/10/2017,"Oct 05, 2017",1.1711,1.1758,1.178,1.1698,-0.42%
06/10/2017,"Oct 06, 2017",1.1734,1.171,1.1739,1.1668,0.20%
09/10/2017,"Oct 09, 2017",1.1741,1.1728,1.1758,1.1718,0.06%
10/10/2017,"Oct 10, 2017",1.1806,1.1739,1.1825,1.1738,0.55%
11/10/2017,"Oct 11, 2017",1.1859,1.1808,1.1871,1.1795,0.45%
12/10/2017,"Oct 12, 2017",1.183,1.1862,1.1882,1.1826,-0.24%
13/10/2017,"Oct 13, 2017",1.1823,1.1829,1.1875,1.1804,-0.06%
16/10/2017,"Oct 16, 2017",1.1797,1.1825,1.1826,1.1781,-0.22%
17/10/2017,"Oct 17, 2017",1.1766,1.1797,1.1801,1.1735,-0.26%
18/10/2017,"Oct 18, 2017",1.1787,1.1764,1.1805,1.1729,0.18%
19/10/2017,"Oct 19, 2017",1.1852,1.1788,1.186,1.1768,0.55%
20/10/2017,"Oct 20, 2017",1.1785,1.1853,1.1859,1.1763,-0.57%
23/10/2017,"Oct 23, 2017",1.1749,1.1773,1.1779,1.1725,-0.31%
24/10/2017,"Oct 24, 2017",1.1761,1.1749,1.1794,1.1743,0.10%
25/10/2017,"Oct 25, 2017",1.1813,1.176,1.1819,1.1752,0.44%
26/10/2017,"Oct 26, 2017",1.165,1.1811,1.1837,1.164,-1.38%
27/10/2017,"Oct 27, 2017",1.161,1.165,1.1659,1.1575,-0.34%
30/10/2017,"Oct 30, 2017",1.1651,1.1603,1.166,1.1594,0.35%
31/10/2017,"Oct 31, 2017",1.1646,1.1651,1.1663,1.1625,-0.04%
01/11/2017,"Nov 01, 2017",1.1619,1.1646,1.1659,1.1607,-0.23%
02/11/2017,"Nov 02, 2017",1.1658,1.1619,1.1689,1.1613,0.34%
03/11/2017,"Nov 03, 2017",1.1609,1.166,1.1692,1.1599,-0.42%
06/11/2017,"Nov 06, 2017",1.161,1.1609,1.1625,1.1579,0.01%
07/11/2017,"Nov 07, 2017",1.1586,1.1609,1.1618,1.1554,-0.21%
08/11/2017,"Nov 08, 2017",1.1595,1.1586,1.1612,1.1579,0.08%
09/11/2017,"Nov 09, 2017",1.1642,1.1596,1.1657,1.1586,0.41%
10/11/2017,"Nov 10, 2017",1.1665,1.1642,1.168,1.1623,0.20%
13/11/2017,"Nov 13, 2017",1.1667,1.1666,1.1677,1.1638,0.02%
14/11/2017,"Nov 14, 2017",1.1798,1.1667,1.1807,1.166,1.12%
15/11/2017,"Nov 15, 2017",1.1792,1.1797,1.1861,1.1784,-0.05%
16/11/2017,"Nov 16, 2017",1.177,1.1792,1.1802,1.1756,-0.19%
17/11/2017,"Nov 17, 2017",1.1795,1.1771,1.1823,1.1766,0.21%
20/11/2017,"Nov 20, 2017",1.1732,1.1789,1.1808,1.1721,-0.53%
21/11/2017,"Nov 21, 2017",1.1738,1.1732,1.1759,1.1713,0.05%
22/11/2017,"Nov 22, 2017",1.1822,1.1738,1.1829,1.1733,0.72%
23/11/2017,"Nov 23, 2017",1.1851,1.1822,1.1857,1.1812,0.25%
24/11/2017,"Nov 24, 2017",1.193,1.185,1.1945,1.1836,0.67%
27/11/2017,"Nov 27, 2017",1.1898,1.1933,1.1962,1.1896,-0.27%
28/11/2017,"Nov 28, 2017",1.1841,1.1898,1.1921,1.1827,-0.48%
29/11/2017,"Nov 29, 2017",1.1847,1.1841,1.1884,1.1817,0.05%
