Date,ROR,Index,Leverage,,Settle,1.1
20131204,0.0221,712121.2,0.7,,638711.86,
20131205,-0.0048,708679.27,0.7,,633894.15,
20131206,0.0103,715997.46,0.7,,644154.18,
20131209,0.0112,724012.28,0.7,,655491.29,
20131210,-0.0361,697895.71,0.7,,618306.21,
20131211,-0.0005,697540.74,0.7,,617820.4,
20131212,0.0453,729154.62,0.7,,661800.38,
20131213,-0.0412,699108.19,0.7,,618953.53,
20131216,-0.0078,693675.23,0.7,,611366.93,
20131217,-0.0035,691257.53,0.7,,608004.41,
20131218,0.0367,716602.99,0.7,,643068.9,
20131219,0.0309,738742.95,0.7,,674294.49,
20131220,-0.0212,723064.2,0.7,,651830.85,
20131223,-0.0079,717372.16,0.7,,643738.83,
20131224,0.0175,729939.95,0.7,,661441.65,
20131225,0,729939.95,0.7,,661441.65,
20131226,0.0366,756691.54,0.7,,699483.99,
20131227,0.0149,767974.89,0.7,,715861.91,
20131230,-0.0162,755510.42,0.7,,697638.11,
20131231,-0.0299,732914.33,0.7,,664859.09,
20140101,0,732914.33,0.7,,664859.09,
20140102,-0.0152,721753.46,0.7,,648978.45,
20140103,-0.0211,706513.92,0.7,,627460.18,
20140106,-0.0033,704184.24,0.7,,624206.35,
20140107,0.0368,730077.75,0.7,,660303.32,
20140108,0.0222,746316.92,0.7,,683338.47,
20140109,-0.0109,738165.65,0.7,,671633.86,
20140110,-0.0359,711675.53,0.7,,633744.11,
20140113,-0.0364,685762.8,0.7,,597493.95,
20140114,0.0249,702815.84,0.7,,620873.03,
20140115,-0.0264,684288.63,0.7,,595115.67,
20140116,-0.0105,677083.74,0.7,,585296.26,
20140117,0.0107,684348.05,0.7,,595137.6,
20140120,0,684348.05,0.7,,595137.6,
20140121,-0.0055,680596.28,0.7,,589993.91,
20140122,0.0317,702194.13,0.7,,619384.04,
20140123,0.0309,723915.47,0.7,,649459.56,
20140124,0.0053,727752.18,0.7,,654868.63,
20140127,-0.0103,720233.84,0.7,,644269.11,
20140128,0.0185,733525.2,0.7,,662998.94,
20140129,0.0508,770778.7,0.7,,715925.19,
20140130,-0.0552,728234.83,0.7,,653823.8,
20140131,-0.0099,721018.31,0.7,,643652.17,
20140203,0.0022,722602.06,0.7,,645877.36,
20140204,0.003,724770.63,0.7,,648922.21,
20140205,-0.0274,704935.58,0.7,,620981.48,
20140206,-0.0268,686047.22,0.7,,594829.29,
20140207,0.0363,710978.85,0.7,,628760.05,
20140210,-0.0114,702862.08,0.7,,617496.26,
