Date,security,holdings,cash,total,returns
2015-09-23,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-24,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-25,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-28,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-29,,0.0,185765.49999999994,185765.49999999994,0.0
2015-09-30,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-01,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-02,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-05,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-06,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-07,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-08,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-09,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-12,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-13,,0.0,185765.49999999994,185765.49999999994,0.0
2015-10-14,56374.2,56374.2,73017.09999999993,129391.29999999993,-0.30346969701047843
2015-10-15,,0.0,73017.09999999993,73017.09999999993,-0.43568771625294767
2015-10-16,,0.0,73017.09999999993,73017.09999999993,0.0
2015-10-19,-56971.8,-56971.8,186960.69999999995,129988.89999999995,0.7802528448815425
2015-10-20,,0.0,186960.69999999995,186960.69999999995,0.43828203792785403
2015-10-21,,0.0,186960.69999999995,186960.69999999995,0.0
2015-10-22,,0.0,186960.69999999995,186960.69999999995,0.0
2015-10-23,29172.899999999998,29172.899999999998,99441.99999999994,128614.89999999994,-0.31207521152841233
2015-10-26,,0.0,99441.99999999994,99441.99999999994,-0.22682364173979852
2015-10-27,,0.0,99441.99999999994,99441.99999999994,0.0
2015-10-28,,0.0,99441.99999999994,99441.99999999994,0.0
2015-10-29,,0.0,99441.99999999994,99441.99999999994,0.0
2015-10-30,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-02,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-03,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-04,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-05,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-06,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-09,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-10,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-11,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-12,,0.0,99441.99999999994,99441.99999999994,0.0
2015-11-13,,0.0,99441.99999999994,99441.99999999994,0.0
