Date,oprc,hprc,lprc,cprc,Settle,tvol,oint,padj,futc
22/05/2013,1.220156508,1.232727404,1.219474367,1.226003437,1.226003437,5014.940836,13258.24342,0.974488067,921692
23/05/2013,1.226783027,1.227270271,1.209924384,1.221130996,1.221130996,4488.510583,13066.34779,0.974488067,921692
24/05/2013,1.221325894,1.22249528,1.208949896,1.210898872,1.210898872,2457.700696,13156.65162,0.974488067,921692
27/05/2013,1.210898872,1.210898872,1.210898872,1.210898872,1.210898872,0,13156.65162,0.974488067,921692
28/05/2013,1.212458053,1.2249315,1.209339691,1.220936099,1.220936099,2177.553602,13481.95063,0.974488067,921692
29/05/2013,1.223177421,1.225126397,1.21187336,1.214212131,1.214212131,2440.255639,13506.57894,0.974488067,921692
30/05/2013,1.214212131,1.217817737,1.210314179,1.212263155,1.212263155,1947.68932,13372.14938,0.974488067,921692
31/05/2013,1.212360604,1.21430958,1.206416227,1.213919785,1.213919785,2568.528118,13833.93031,0.974488067,921692
03/06/2013,1.212360604,1.2167458,1.201446337,1.206318778,1.206318778,3435.650076,14025.82594,0.974488067,921692
04/06/2013,1.207195817,1.21099632,1.20612388,1.207195817,1.207195817,1193.447144,13967.33369,0.974488067,921692
05/06/2013,1.207975407,1.20943714,1.199010117,1.200861645,1.200861645,3259.147145,13382.41118,0.974488067,921692
06/06/2013,1.201836133,1.206903471,1.195794307,1.200082054,1.200082054,5648.093792,13035.5624,0.974488067,921692
07/06/2013,1.199692259,1.206318778,1.195599409,1.204662148,1.204662148,4324.32181,11961.15211,0.974488067,921692
10/06/2013,1.206708573,1.21021673,1.203882558,1.20534429,1.20534429,2101.616295,11088.89926,0.974488067,921692
11/06/2013,1.206318778,1.207000919,1.192870842,1.19881522,1.19881522,3981.577746,9983.70358,0.974488067,921692
12/06/2013,1.19959481,1.201738684,1.194137677,1.197548385,1.197548385,2175.501243,8462.90507,0.974488067,921692
13/06/2013,1.195209614,1.201836133,1.191311662,1.19881522,1.19881522,4564.44789,6998.54645,0.974488067,921692
14/06/2013,1.20174011,1.202227592,1.196475307,1.199107709,1.199107709,2571.378099,10963.48644,0.974963581,921693
17/06/2013,1.198717723,1.204665001,1.198717723,1.201935103,1.201935103,674.8970039,11041.43807,0.974963581,921693
18/06/2013,1.201155132,1.204080023,1.197937752,1.201350125,1.201350125,1010.294147,11073.23413,0.974963581,921693
19/06/2013,1.20096014,1.204859994,1.198230242,1.203007563,1.203007563,1062.603793,11068.10573,0.974963581,921693
20/06/2013,1.202617578,1.203300052,1.193062935,1.193062935,1.193062935,2248.289107,11489.65994,0.974963581,921693
21/06/2013,1.195402847,1.197352774,1.193160431,1.196182818,1.196182818,1019.525261,11269.13888,0.974963581,921693
24/06/2013,1.195792833,1.1966703,1.190528029,1.193160431,1.193160431,1555.955555,11611.71578,0.974963581,921693
25/06/2013,1.193257927,1.20066765,1.192477956,1.196280314,1.196280314,853.3652086,11586.07379,0.974963581,921693
26/06/2013,1.196182818,1.197060285,1.192965438,1.195207854,1.195207854,833.8773012,11651.71727,0.974963581,921693
27/06/2013,1.194915365,1.202422585,1.194915365,1.201447621,1.201447621,1159.017651,11586.07379,0.974963581,921693
28/06/2013,1.20066765,1.204080023,1.197157782,1.197352774,1.197352774,1600.059766,11276.31863,0.974963581,921693
01/07/2013,1.198912716,1.206322439,1.197937752,1.203787534,1.203787534,1718.01289,10540.90655,0.974963581,921693
02/07/2013,1.203202556,1.206809921,1.201350125,1.202325089,1.202325089,1486.20936,10574.75397,0.974963581,921693
03/07/2013,1.203202556,1.203300052,1.196475307,1.200472658,1.200472658,842.0827359,10561.42014,0.974963581,921693
04/07/2013,1.200472658,1.200472658,1.200472658,1.200472658,1.200472658,0,10561.42014,0.974963581,921693
05/07/2013,1.200277665,1.206419936,1.199692687,1.205249979,1.205249979,1316.972269,10711.16932,0.974963581,921693
08/07/2013,1.206712425,1.210027301,1.20602995,1.209052337,1.209052337,475.9152125,10682.4503,0.974963581,921693
09/07/2013,1.209052337,1.214902119,1.208759848,1.212074724,1.212074724,1292.355965,10654.75696,0.974963581,921693
10/07/2013,1.212172221,1.213829659,1.209344826,1.21246471,1.21246471,985.6778431,10578.85668,0.974963581,921693
11/07/2013,1.210807272,1.213439673,1.205444972,1.208077374,1.208077374,1255.431509,10473.21171,0.974963581,921693
12/07/2013,1.208467359,1.209442323,1.203690038,1.205054987,1.205054987,730.2836881,10445.51837,0.974963581,921693
15/07/2013,1.205054987,1.208954841,1.20495749,1.207394899,1.207394899,821.5691491,10478.34011,0.974963581,921693
16/07/2013,1.207394899,1.208954841,1.204470008,1.205737461,1.205737461,617.458961,10578.85668,0.974963581,921693
17/07/2013,1.205249979,1.206224943,1.201447621,1.203007563,1.203007563,897.4694201,10810.66021,0.974963581,921693
18/07/2013,1.203495045,1.207784885,1.203300052,1.20710241,1.20710241,746.6945575,10736.8113,0.974963581,921693
19/07/2013,1.20710241,1.207199906,1.20388503,1.205347476,1.205347476,546.6870868,10871.1753,0.974963581,921693
22/07/2013,1.205347476,1.206419936,1.201155132,1.203690038,1.203690038,376.4243168,10857.84146,0.974963581,921693
23/07/2013,1.203397548,1.208077374,1.203202556,1.205347476,1.205347476,349.756654,10759.37625,0.974963581,921693
24/07/2013,1.204567505,1.208954841,1.204470008,1.206127447,1.206127447,656.4347758,11138.8776,0.974963581,921693
25/07/2013,1.205834957,1.206809921,1.202617578,1.20281257,1.20281257,746.6945575,11178.8791,0.974963581,921693
26/07/2013,1.203495045,1.203690038,1.200277665,1.20174011,1.20174011,698.4876287,11432.22189,0.974963581,921693
29/07/2013,1.202325089,1.20388503,1.201447621,1.202910067,1.202910067,395.9122242,11441.45301,0.974963581,921693
30/07/2013,1.203787534,1.204177519,1.201155132,1.201350125,1.201350125,324.1146706,11401.45151,0.974963581,921693
31/07/2013,1.202325089,1.203300052,1.199302701,1.200570154,1.200570154,870.8017573,11562.48317,0.974963581,921693
01/08/2013,1.20096014,1.206419936,1.200082672,1.206322439,1.206322439,1108.759364,11772.74743,0.974963581,921693
02/08/2013,1.206712425,1.208467359,1.201545118,1.202715074,1.202715074,1043.115886,11962.49811,0.974963581,921693
05/08/2013,1.20281257,1.204665001,1.197645263,1.199692687,1.199692687,1068.757869,11995.31985,0.974963581,921693
06/08/2013,1.199205205,1.20174011,1.195792833,1.20096014,1.20096014,1089.271456,12226.0977,0.974963581,921693
07/08/2013,1.200765147,1.201545118,1.197352774,1.197840256,1.197840256,934.3938762,12520.46767,0.974963581,921693
08/08/2013,1.198035249,1.20066765,1.197157782,1.199985176,1.199985176,767.2081443,12874.32704,0.974963581,921693
09/08/2013,1.199692687,1.20066765,1.198522731,1.199595191,1.199595191,571.3033909,13088.69402,0.974963581,921693
12/08/2013,1.199107709,1.201935103,1.19881522,1.200082672,1.200082672,683.1024386,13121.51576,0.974963581,921693
13/08/2013,1.200765147,1.207004914,1.200765147,1.206224943,1.206224943,1724.166966,13329.72867,0.974963581,921693
14/08/2013,1.206224943,1.21139225,1.205639965,1.208272366,1.208272366,1021.57662,13366.65312,0.974963581,921693
15/08/2013,1.208077374,1.212269717,1.202715074,1.204372512,1.204372512,2398.038291,13459.98994,0.974963581,921693
16/08/2013,1.205054987,1.20710241,1.202032599,1.203982527,1.203982527,724.1296121,13457.93858,0.974963581,921693
19/08/2013,1.205054987,1.20602995,1.200277665,1.20096014,1.20096014,478.9922505,13399.47486,0.974963581,921693
20/08/2013,1.202130096,1.20281257,1.197352774,1.199692687,1.199692687,1900.583812,13382.03831,0.974963581,921693
21/08/2013,1.200180169,1.202130096,1.199205205,1.201252629,1.201252629,572.3290702,13279.47038,0.974963581,921693
22/08/2013,1.20174011,1.204762498,1.20096014,1.202617578,1.202617578,656.4347758,13264.08519,0.974963581,921693
23/08/2013,1.202422585,1.205152483,1.20096014,1.202617578,1.202617578,515.9167066,13312.29212,0.974963581,921693
26/08/2013,1.202032599,1.204275016,1.202032599,1.203495045,1.203495045,162.0573353,13296.90693,0.974963581,921693
27/08/2013,1.202617578,1.202617578,1.197255278,1.198327738,1.198327738,903.6234961,13461.01562,0.974963581,921693
28/08/2013,1.197937752,1.199107709,1.196962789,1.198425234,1.198425234,2171.363157,12475.33778,0.974963581,921693
29/08/2013,1.199010212,1.201837607,1.198620227,1.20174011,1.20174011,1061.578114,12147.12039,0.974963581,921693
30/08/2013,1.20174011,1.201935103,1.197352774,1.19881522,1.19881522,517.9680653,11992.24281,0.974963581,921693
02/09/2013,1.19881522,1.19881522,1.19881522,1.19881522,1.19881522,0,11992.24281,0.974963581,921693
03/09/2013,1.199302701,1.203300052,1.199302701,1.202227592,1.202227592,841.0570566,11935.83045,0.974963581,921693
04/09/2013,1.202520081,1.205737461,1.202325089,1.205347476,1.205347476,1167.223086,11640.4348,0.974963581,921693
05/09/2013,1.204470008,1.208954841,1.204372512,1.208564855,1.208564855,1764.16846,11212.72651,0.974963581,921693
06/09/2013,1.208272366,1.208759848,1.201642614,1.205152483,1.205152483,3091.397523,10914.25383,0.974963581,921693
09/09/2013,1.205639965,1.205737461,1.202617578,1.204859994,1.204859994,740.5404815,10604.49867,0.974963581,921693
10/09/2013,1.205054987,1.209149834,1.205054987,1.209149834,1.209149834,2064.692506,9703.95221,0.974963581,921693
11/09/2013,1.20924733,1.210222294,1.206127447,1.207004914,1.207004914,2492.40079,8122.354672,0.974963581,921693
12/09/2013,1.207979877,1.207979877,1.204372512,1.206614928,1.206614928,3513.977409,5362.251575,0.974963581,921693
13/09/2013,1.207005103,1.208078083,1.20505423,1.205444405,1.205444405,2359.969144,8978.544642,0.975436482,921694
16/09/2013,1.205346861,1.207102647,1.204176337,1.206029666,1.206029666,1116.423283,9303.527361,0.975436482,921694
17/09/2013,1.205151774,1.207492821,1.205151774,1.205932123,1.205932123,285.0006178,9374.264925,0.975436482,921694
18/09/2013,1.206517385,1.206712472,1.20212792,1.202713182,1.202713182,1009.804347,9576.225794,0.975436482,921694
19/09/2013,1.202518095,1.204176337,1.200372135,1.200957397,1.200957397,817.0701165,9675.668456,0.975436482,921694
20/09/2013,1.201932833,1.202323008,1.199689329,1.19998196,1.19998196,540.2709553,9706.423918,0.975436482,921694
23/09/2013,1.200859853,1.202615639,1.197055651,1.198518806,1.198518806,1746.910262,10649.59143,0.975436482,921694
24/09/2013,1.198128631,1.199689329,1.197836,1.19890898,1.19890898,725.8289115,10640.36479,0.975436482,921694
25/09/2013,1.199591786,1.200079504,1.198031087,1.19890898,1.19890898,534.1198628,10726.48009,0.975436482,921694
26/09/2013,1.199006524,1.200372135,1.196860563,1.196958107,1.196958107,708.4008162,10904.86177,0.975436482,921694
