Date,P&L,USD Index,Trend Index,signal,daily index P&L
10/09/2014,,84.293,,,
11/09/2014,,84.304,,,
12/09/2014,,84.381,,,
15/09/2014,,84.398,,,
16/09/2014,,84.231,,,
17/09/2014,,84.486,,,
18/09/2014,,84.43,,,
19/09/2014,,84.865,,,
22/09/2014,,84.863,,,
23/09/2014,,84.779,,,
24/09/2014,,85.155,,,
25/09/2014,,85.303,,,
29/09/2014,,85.716,,,
30/09/2014,,86.047,,,
01/10/2014,,86.076,,,
02/10/2014,,85.69,,,
03/10/2014,,86.823,,,
06/10/2014,,86.044,,,
07/10/2014,,85.778,,,
08/10/2014,,85.407,,,
09/10/2014,,85.655,,,
10/10/2014,,86.031,,,
13/10/2014,,85.727,,,
14/10/2014,,85.941,,,
15/10/2014,,85.241,,,
16/10/2014,,85.041,,,
17/10/2014,,85.213,,,
18/10/2014,,85.038,,,
20/10/2014,,85.038,,,
21/10/2014,,85.404,,,
22/10/2014,,85.854,,,
23/10/2014,,85.946,,,
24/10/2014,,85.818,,,
27/10/2014,,85.561,,,
28/10/2014,,85.473,,,
29/10/2014,,86.036,,,
30/10/2014,,86.232,,,
31/10/2014,,87.016,,,
03/11/2014,,87.407,,,
04/11/2014,,87.092,,,
05/11/2014,,87.567,,,
06/11/2014,,88.134,,,
07/11/2014,,87.726,,,
10/11/2014,,87.911,,,
11/11/2014,,87.719,,,
12/11/2014,,87.906,,,
13/11/2014,,87.752,,,
14/11/2014,,87.593,,,
17/11/2014,,88.01,,,
18/11/2014,,87.645,,,
19/11/2014,,87.711,,,
20/11/2014,,87.667,,,
21/11/2014,,88.405,,,
24/11/2014,,88.206,,,
25/11/2014,,87.962,,,
26/11/2014,,87.649,,,
27/11/2014,,87.649,,,
28/11/2014,,88.413,,,
01/12/2014,,87.982,,,
02/12/2014,,88.703,,,
03/12/2014,,88.993,,,
04/12/2014,,88.735,,,
05/12/2014,,89.36,,,
08/12/2014,,89.047,,,
09/12/2014,,88.692,,,
10/12/2014,,88.287,,,
11/12/2014,,88.682,,,
12/12/2014,,88.345,,,
15/12/2014,,88.682,,,
16/12/2014,,88.297,,,
17/12/2014,,89.326,,,
18/12/2014,,89.477,,,
19/12/2014,,89.841,,,
22/12/2014,,89.949,,,
23/12/2014,,90.326,,,
24/12/2014,,90.223,,,
26/12/2014,,90.31,,,
29/12/2014,,90.496,,,
30/12/2014,,90.279,,,
31/12/2014,,90.647,,,
02/01/2015,,91.383,,,
05/01/2015,,91.622,,,
06/01/2015,,91.738,,,
07/01/2015,,92.115,,,
08/01/2015,,92.602,,,
09/01/2015,,92.147,,,
12/01/2015,,92.184,,,
13/01/2015,,92.502,,,
14/01/2015,,92.345,,,
15/01/2015,,92.608,,,
16/01/2015,,92.89,,,
19/01/2015,,92.89,,,
20/01/2015,,93.349,,,
21/01/2015,,93.14,,,
22/01/2015,,94.362,,,
23/01/2015,,95.053,,,
26/01/2015,,95.115,,,
27/01/2015,,94.25,,,
28/01/2015,,94.727,,,
29/01/2015,,95.011,,,
30/01/2015,,94.998,,,
02/02/2015,,94.734,,,
03/02/2015,,93.724,,,
04/02/2015,,94.165,,,
05/02/2015,,93.732,,,
06/02/2015,,94.851,,,
09/02/2015,,94.582,,,
10/02/2015,,94.853,,,
11/02/2015,,95.09,,,
12/02/2015,,94.198,,,
13/02/2015,,94.279,,,
16/02/2015,,94.279,,,
17/02/2015,,94.147,,,
18/02/2015,,94.257,,,
19/02/2015,,94.492,,,
20/02/2015,,94.34,,,
23/02/2015,,94.657,,,
24/02/2015,,94.561,,,
25/02/2015,,94.235,,,
26/02/2015,,95.336,,,
27/02/2015,,95.321,,,
02/03/2015,,95.479,,,
03/03/2015,,95.408,,,
04/03/2015,,95.986,,,
05/03/2015,,96.394,,,
06/03/2015,,97.604,,,
09/03/2015,,97.58,,,
10/03/2015,,98.615,,,
11/03/2015,,99.785,,,
12/03/2015,,99.411,,,
13/03/2015,,100.314,,,
16/03/2015,,100.041,,,
17/03/2015,,99.949,,,
18/03/2015,,98.781,,,
19/03/2015,,99.584,,,
20/03/2015,,98.171,,,
23/03/2015,,97.298,,,
24/03/2015,,97.446,,,
25/03/2015,,97.197,,,
26/03/2015,,97.682,,,
27/03/2015,,97.52,,,
30/03/2015,,98.281,,,
31/03/2015,,98.661,,,
01/04/2015,,98.475,,,
02/04/2015,,97.673,,,
06/04/2015,,96.961,,,
07/04/2015,,98.056,,,
08/04/2015,,98.131,,,
09/04/2015,,99.395,,,
10/04/2015,,99.596,,,
13/04/2015,,99.768,,,
14/04/2015,,98.94,,,
15/04/2015,,98.525,,,
16/04/2015,,97.614,,,
17/04/2015,,97.707,,,
20/04/2015,,98.16,,,
21/04/2015,,98.205,,,
22/04/2015,,98.138,,,
23/04/2015,,97.454,,,
24/04/2015,,97.099,,,
27/04/2015,,96.941,,,
28/04/2015,,96.194,,,
29/04/2015,,95.322,,,
30/04/2015,,94.714,,,
01/05/2015,,95.445,,,
04/05/2015,,95.637,,,
05/05/2015,,95.202,,,
06/05/2015,,94.175,,,
07/05/2015,,94.749,,,
08/05/2015,,94.904,,,
11/05/2015,,95.1,,,
12/05/2015,,94.606,,,
13/05/2015,,93.643,,,
14/05/2015,,93.505,,,
15/05/2015,,93.18,,,
18/05/2015,,94.269,,,
19/05/2015,,95.363,,,
20/05/2015,,95.509,,,
21/05/2015,,95.329,,,
22/05/2015,,96.11,,,
25/05/2015,,96.11,,,
26/05/2015,,97.407,,,
27/05/2015,,97.474,,,
28/05/2015,,97.059,,,
29/05/2015,,96.986,,,
01/06/2015,,97.473,,,
02/06/2015,,95.878,,,
03/06/2015,,95.509,,,
04/06/2015,,95.493,,,
05/06/2015,,96.361,,,
08/06/2015,,95.323,,,
09/06/2015,,95.172,,,
10/06/2015,,94.651,,,
11/06/2015,,94.98,,,
12/06/2015,,94.987,,,
15/06/2015,,95.102,,,
16/06/2015,,95.262,,,
17/06/2015,,94.49,,,
18/06/2015,,94.241,,,
19/06/2015,,94.272,,,
22/06/2015,,94.515,,,
23/06/2015,,95.645,,,
24/06/2015,,95.418,,,
25/06/2015,,95.387,,,
26/06/2015,,95.651,,,
29/06/2015,,94.95,,,
30/06/2015,,95.661,,,
01/07/2015,,96.509,,,
02/07/2015,,96.29,,,
03/07/2015,,96.29,,,
06/07/2015,,96.477,,,
07/07/2015,,97.076,,,
08/07/2015,,96.472,,,
09/07/2015,,96.788,,,
10/07/2015,,96.172,,,
13/07/2015,,96.998,,,
14/07/2015,,96.784,,,
15/07/2015,,97.279,,,
16/07/2015,,97.806,,,
17/07/2015,,97.989,,,
20/07/2015,,98.161,,,
21/07/2015,,97.426,,,
22/07/2015,,97.722,,,
23/07/2015,,97.226,,,
24/07/2015,,97.346,,,
27/07/2015,,96.605,,,
28/07/2015,,96.863,,,
29/07/2015,,97.077,,,
30/07/2015,,97.694,,,
31/07/2015,,97.439,,,
03/08/2015,,97.616,,,
04/08/2015,,98.024,,,
05/08/2015,,98.035,,,
06/08/2015,,97.906,,,
07/08/2015,,97.619,,,
10/08/2015,,97.202,,,
11/08/2015,,97.335,,,
12/08/2015,,96.295,,,
13/08/2015,,96.461,,,
14/08/2015,,96.533,,,
17/08/2015,,96.815,,,
18/08/2015,,97.07,,,
19/08/2015,,96.368,,,
20/08/2015,,96.002,,,
21/08/2015,,95.005,,,
24/08/2015,,93.356,,,
25/08/2015,,94.544,,,
26/08/2015,,95.131,,,
27/08/2015,,95.652,,,
28/08/2015,,96.135,,,
31/08/2015,,95.854,,,
01/09/2015,,95.446,,,
02/09/2015,,95.844,,,
03/09/2015,,96.423,,,
04/09/2015,,96.24,,,
07/09/2015,,96.24,,,
08/09/2015,,95.987,,,
09/09/2015,,96.01,,,
10/09/2015,,95.442,,,
11/09/2015,,95.194,,,
14/09/2015,,95.412,,,
15/09/2015,,95.785,,,
16/09/2015,,95.546,,,
17/09/2015,,94.677,,,
18/09/2015,,94.996,,,
21/09/2015,,96.034,,,
22/09/2015,,96.446,,,
23/09/2015,,96.206,,,
24/09/2015,,96.149,,,
25/09/2015,,96.434,,,
28/09/2015,,96.182,,,
29/09/2015,,95.993,,,
30/09/2015,,96.48,,,
01/10/2015,,96.326,,,
02/10/2015,,95.967,,,
05/10/2015,,96.24,,,
06/10/2015,,95.563,,,
07/10/2015,,95.58,,,
08/10/2015,,95.407,,,
09/10/2015,,94.883,,,
12/10/2015,,94.765,,,
13/10/2015,,94.79,,,
14/10/2015,,93.957,,,
15/10/2015,,94.43,,,
16/10/2015,,94.588,,,
19/10/2015,,94.953,,,
20/10/2015,,94.939,,,
21/10/2015,,95.068,,,
22/10/2015,,96.454,,,
23/10/2015,,97.243,,,
26/10/2015,,96.955,,,
27/10/2015,,96.992,,,
28/10/2015,,97.861,,,
29/10/2015,,97.364,,,
30/10/2015,,97.019,,,
02/11/2015,,97.003,,,
03/11/2015,,97.243,,,
04/11/2015,,98.029,,,
05/11/2015,,98.05,,,
06/11/2015,,99.26,,,
09/11/2015,,99.076,,,
10/11/2015,,99.39,,,
11/11/2015,,99.158,,,
12/11/2015,,98.712,,,
13/11/2015,,99.097,,,
16/11/2015,,99.538,,,
17/11/2015,,99.7,,,
18/11/2015,,99.745,,,
19/11/2015,,99.064,,,
20/11/2015,,99.624,,,
23/11/2015,,99.855,,,
24/11/2015,,99.59,,,
25/11/2015,,99.83,,,
26/11/2015,,99.83,,,
27/11/2015,,100.073,,,
30/11/2015,,100.21,,,
01/12/2015,,99.84,,,
02/12/2015,,100.02,,,
03/12/2015,,97.634,,,
04/12/2015,,98.343,,,
07/12/2015,,98.669,,,
08/12/2015,,98.468,,,
09/12/2015,,97.334,,,
10/12/2015,,97.96,,,
11/12/2015,,97.551,,,
14/12/2015,,97.653,,,
15/12/2015,,98.288,,,
16/12/2015,,97.884,,,
17/12/2015,,99.32,,,
18/12/2015,,98.731,,,
21/12/2015,,98.369,,,
22/12/2015,,98.244,,,
23/12/2015,,98.367,,,
24/12/2015,,98.016,,,
28/12/2015,,97.95,,,
29/12/2015,,98.173,,,
30/12/2015,,98.354,,,
31/12/2015,,98.745,,,
04/01/2016,,98.968,,,
05/01/2016,,99.496,,,
07/01/2016,,98.272,,,
08/01/2016,,98.599,,,
11/01/2016,,98.784,,,
12/01/2016,,99.024,,,
13/01/2016,,98.978,,,
14/01/2016,,99.155,,,
15/01/2016,,99.02,,,
18/01/2016,,99.02,,,
19/01/2016,,99.036,,,
20/01/2016,,99.174,,,
21/01/2016,,99.128,,,
22/01/2016,,99.651,,,
25/01/2016,,99.406,,,
26/01/2016,,99.133,,,
27/01/2016,,98.954,,,
28/01/2016,,98.539,,,
29/01/2016,,99.652,,,
01/02/2016,,99.028,,,
02/02/2016,,98.893,,,
03/02/2016,,97.301,,,
04/02/2016,,96.487,,,
05/02/2016,,97.054,,,
08/02/2016,,96.581,,,
09/02/2016,,96.094,,,
10/02/2016,,95.936,,,
11/02/2016,,95.619,,,
12/02/2016,,95.982,,,
15/02/2016,,95.982,,,
16/02/2016,,96.875,,,
17/02/2016,,96.8,,,
18/02/2016,,96.96,,,
19/02/2016,,96.604,,,
22/02/2016,,97.388,,,
23/02/2016,,97.485,,,
24/02/2016,,97.464,,,
25/02/2016,,97.282,,,
26/02/2016,,98.175,,,
29/02/2016,,98.219,,,
01/03/2016,,98.365,,,
02/03/2016,,98.225,,,
03/03/2016,,97.601,,,
04/03/2016,,97.343,,,
07/03/2016,,97.084,,,
08/03/2016,,97.206,,,
09/03/2016,,97.159,,,
10/03/2016,,96.055,,,
11/03/2016,,96.172,,,
14/03/2016,,96.665,,,
15/03/2016,,96.668,,,
16/03/2016,,95.925,,,
17/03/2016,,94.801,,,
18/03/2016,,95.12,,,
21/03/2016,,95.304,,,
22/03/2016,,95.644,,,
23/03/2016,,96.064,,,
24/03/2016,,96.173,,,
28/03/2016,,95.94,,,
29/03/2016,,95.146,,,
30/03/2016,,94.819,,,
31/03/2016,,94.578,,,
01/04/2016,,94.618,,,
04/04/2016,,94.524,,,
05/04/2016,,94.637,,,
06/04/2016,,94.441,,,
07/04/2016,,94.504,,,
08/04/2016,,94.252,,,
11/04/2016,,93.942,,,
12/04/2016,,93.945,,,
13/04/2016,,94.762,,,
14/04/2016,,94.908,,,
15/04/2016,,94.686,,,
18/04/2016,,94.46,,,
19/04/2016,,93.947,,,
20/04/2016,,94.471,,,
21/04/2016,,94.574,,,
22/04/2016,,95.08,,,
25/04/2016,,94.801,,,
26/04/2016,,94.543,,,
27/04/2016,,94.367,,,
28/04/2016,,93.727,,,
29/04/2016,,93.054,,,
02/05/2016,,92.618,,,
03/05/2016,,92.931,,,
04/05/2016,,93.187,,,
05/05/2016,,93.78,,,
06/05/2016,,93.883,,,
09/05/2016,,94.115,,,
10/05/2016,,94.267,,,
11/05/2016,,93.79,,,
12/05/2016,,94.128,,,
13/05/2016,,94.593,,,
16/05/2016,,94.55,,,
17/05/2016,,94.531,,,
18/05/2016,,95.063,,,
19/05/2016,,95.294,,,
20/05/2016,,95.343,,,
23/05/2016,,95.216,,,
24/05/2016,,95.576,,,
25/05/2016,,95.34,,,
26/05/2016,,95.162,,,
27/05/2016,,95.5,,,
30/05/2016,,95.5,,,
31/05/2016,,95.878,,,
01/06/2016,,95.456,,,
02/06/2016,,95.566,,,
03/06/2016,,94.028,,,
06/06/2016,,93.89,,,
07/06/2016,,93.832,,,
08/06/2016,,93.58,,,
09/06/2016,,93.952,,,
10/06/2016,,94.561,,,
13/06/2016,,94.421,,,
14/06/2016,,95.04,,,
15/06/2016,,94.68,,,
16/06/2016,,94.706,,,
17/06/2016,,94.34,,,
20/06/2016,,93.684,,,
21/06/2016,,94.061,,,
22/06/2016,,93.758,,,
23/06/2016,,93.527,,,
24/06/2016,,95.574,,,
27/06/2016,,96.703,,,
28/06/2016,,96.331,,,
29/06/2016,,95.807,,,
30/06/2016,,96.203,,,
01/07/2016,,95.714,,,
04/07/2016,,95.714,,,
05/07/2016,,96.259,,,
06/07/2016,,96.131,,,
07/07/2016,,96.383,,,
08/07/2016,,96.327,,,
11/07/2016,,96.59,,,
12/07/2016,,96.487,,,
13/07/2016,,96.208,,,
14/07/2016,,96.1,,,
15/07/2016,,96.563,,,
18/07/2016,,96.587,,,
19/07/2016,,97.108,,,
20/07/2016,,97.263,,,
21/07/2016,,97.046,,,
22/07/2016,,97.516,,,
25/07/2016,,97.326,,,
26/07/2016,,97.168,,,
27/07/2016,,97.042,,,
28/07/2016,,96.721,,,
29/07/2016,,95.491,,,
01/08/2016,,95.677,,,
02/08/2016,,94.988,,,
03/08/2016,,95.525,,,
04/08/2016,,95.717,,,
05/08/2016,,96.136,,,
08/08/2016,,96.34,,,
09/08/2016,,96.132,,,
10/08/2016,,95.608,,,
